,Asset Turnover Ratio ,Current Ratio,Debt to Equity Ratio,Dividend Yield,Interest Coverage Ratio,Inventory Turnover Ratio ,Price to Earnings,Price-to-Book Ratio (P/B),Profit Margin,Quick Ratio ,Return on Assets (ROA),Return on Equity (ROE),Clusters
RMD,0.68,2.22,0.52,0.015189873417721518,40.22,3.28,31.726907630522085,31.726907630522085,0.617876844871906,2.22,0.10502940377761447,0.20195759931226182,2
ROK,0.87,2.11,0.76,0.015384615384615384,14.23,6.41,33.90287769784173,33.90287769784173,0.4972740902276135,2.11,0.11393195621965119,0.32333392414037576,2
ROST,2.49,1.48,0.16,0.007317452903627587,122.28,6.14,25.58964143426295,25.58964143426295,0.5912236935095493,1.48,0.22953926572753716,0.45212705062437525,7
RRC,0.12,0.4,0.7,0.0042417815482502655,-3.77,29.74,-6.858181818181818,-6.858181818181818,-2.556763515998529,0.4,-0.07556313877430405,-0.1889321068045388,1
RTN,0.81,1.66,0.53,0.015510852302805718,14.06,27.74,25.38978494623656,25.38978494623656,1.0394922425952045,1.66,0.07550971619821728,0.21830568720379148,9
SBUX,1.59,1.04,0.54,0.014660069635330768,52.64,6.34,28.72105263157895,28.72105263157895,0.37949332650944795,1.04,0.22639220318011263,0.4843073221038157,7
SEE,0.92,1.05,6.46,0.013489606368863335,3.83,6.43,18.382113821138212,18.382113821138212,0.3031473979432845,1.05,0.06549959601400485,0.9227850502750902,4
SHW,1.89,1.28,0.64,0.008622016936104695,11.35,5.69,32.502085070892406,32.502085070892406,0.2715140192382047,1.28,0.1955682592191966,1.3050926939429204,6
SLB,0.38,1.59,0.4,0.03167062549485353,-2.34,6.04,-50.92741935483871,-50.92741935483871,-4.186104218362283,1.59,-0.024806999485331962,-0.047343754384980216,1
SNA,0.74,1.9,0.27,0.015863102672995254,16.35,3.35,17.40434782608696,17.40434782608696,0.518356892135471,1.9,0.12177672780761774,0.22646827206034734,2
STX,1.23,1.57,2.59,0.06954779622209503,2.42,9.18,42.609756097560975,42.609756097560975,1.273927392739274,1.57,0.09355307804168686,0.48462021343377276,5
STZ,0.41,1.31,1.04,0.0058698224852071,5.78,1.96,40.78185328185329,40.78185328185329,1.102484918126975,1.31,0.09048629531388153,0.234023416061955,2
SWK,0.74,1.71,0.6,0.01411441418935798,7.3,4.75,24.596006144393243,24.596006144393243,0.3709838585703305,1.71,0.06362252262346513,0.16609883680914034,2
SYY,2.9,2.27,2.11,0.022408453270176716,5.68,15.5,33.46951219512195,33.46951219512195,0.13434358661275847,2.27,0.06832414732286061,0.32834244547086916,6
TAP,0.23,0.69,1.0,0.0196996996996997,12.18,7.43,8.990280777537798,8.990280777537798,1.23009400485588,0.69,0.16095240422602902,0.280548061905438,5
TEL,0.64,1.56,0.44,0.015824573301684186,10.15,5.11,16.262867647058822,16.262867647058822,1.3732057416267942,1.56,0.09748641304347826,0.2095983307250913,2
